task,model_family,model_size,parse_success_rate,sensitivity,specificity,accuracy,f1_score
suicidal_ideation,llama_therapy,8b-therapyllama,0.8711111111111111,0.76,0.8444444444444444,0.8022222222222222,0.7935034802784221
therapy_request,llama_therapy,8b-therapyllama,0.5269230769230769,0.3538461538461538,0.475,0.4346153846153846,0.2944
suicidal_ideation,llama_therapy,8b-wellminded,0.9911111111111112,0.8088888888888889,0.9866666666666668,0.8977777777777778,0.8878048780487805
therapy_engagement,llama_therapy,8b-wellminded,1.0,0.8071428571428572,0.9571428571428572,0.9071428571428573,0.8528301886792452
therapy_request,llama_therapy,8b-wellminded,0.9974358974358974,0.45,0.9884615384615384,0.808974358974359,0.6109660574412533
suicidal_ideation,medgemma,27b-it,1.0,0.9911111111111112,0.8488888888888889,0.92,0.925311203319502
therapy_engagement,medgemma,27b-it,1.0,0.6428571428571429,1.0,0.8809523809523809,0.782608695652174
therapy_request,medgemma,27b-it,1.0,0.9884615384615384,0.9923076923076924,0.9910256410256412,0.9865642994241844
suicidal_ideation,medgemma,27b-text-it,1.0,0.9822222222222222,0.9377777777777778,0.96,0.9608695652173912
therapy_engagement,medgemma,27b-text-it,1.0,0.7428571428571429,1.0,0.9142857142857144,0.8524590163934427
therapy_request,medgemma,27b-text-it,1.0,0.9961538461538462,1.0,0.9987179487179488,0.9980732177263968
suicidal_ideation,medgemma,4b-it,1.0,0.7866666666666666,0.9822222222222222,0.8844444444444445,0.8719211822660098
therapy_engagement,medgemma,4b-it,1.0,0.9428571428571428,0.9142857142857144,0.923809523809524,0.8918918918918919
therapy_request,medgemma,4b-it,1.0,0.9307692307692308,0.8615384615384616,0.8846153846153846,0.843205574912892
suicidal_ideation,mental_health,1b,0.9933333333333332,0.56,0.9777777777777776,0.7688888888888888,0.7078651685393259
therapy_engagement,mental_health,1b,1.0,0.9785714285714284,0.4142857142857143,0.6023809523809524,0.6213151927437641
therapy_request,mental_health,1b,1.0,0.7576923076923077,0.5538461538461539,0.6217948717948718,0.571843251088534
suicidal_ideation,mental_health,ecdev_-_gemma-2b-instruct-ft-mental-health-counseling-conversations,0.9266666666666666,0.1155555555555555,0.9066666666666666,0.5111111111111111,0.1911764705882353
